split_seed,train_seed,task,method,accuracy_mean,accuracy_std,macro_f1_mean,loss_mean,episode_count
0,1,tissuemnist,shared,0.23541667064030966,0.045714807545565714,0.22255518178765973,2.0634620587031045,9
0,1,tissuemnist,single,0.25138889418707955,0.04316322876411293,0.2358265353573693,2.052382058567471,9
0,1,tissuemnist,source_bloodmnist,0.21458333730697632,0.05134898795239825,0.20569450951491794,2.0857852829827204,9
0,1,tissuemnist,source_breastmnist,0.22777777744664085,0.047712423454743275,0.21277312023772132,2.2125289705064564,9
0,1,tissuemnist,source_dermamnist,0.2243055585357878,0.04774652882185819,0.21239671193891102,2.0407336552937827,9
0,1,tissuemnist,source_organmnist,0.23333333432674408,0.0499022467961278,0.21990365095229614,2.0305495659510293,9
0,1,tissuemnist,source_pathmnist,0.23333333763811323,0.046456465720789424,0.22250829129997227,2.049658907784356,9
1,0,dermamnist,shared,0.32998236848248375,0.06843096929679265,0.32070867090471206,1.765154480934143,9
1,0,dermamnist,single,0.3304862744278378,0.0781320129659138,0.32290490007116684,1.7980742322074041,9
1,0,dermamnist,source_breastmnist,0.3284202648533715,0.05943714278158543,0.3205089688537613,1.7692166169484456,9
1,0,dermamnist,source_octmnist,0.33565130167537266,0.057853303223456796,0.32779702745259753,1.7574672963884141,9
1,0,dermamnist,source_pathmnist,0.32588813371128506,0.06590918075853248,0.31817007443261525,1.7808725039164226,9
1,0,dermamnist,source_pneumoniamnist,0.32160494062635636,0.06983860309837264,0.3116613769578555,1.775860071182251,9
1,0,dermamnist,source_tissuemnist,0.32767700486712986,0.048726542937568396,0.31657288791168303,1.7623923354678683,9
1,0,organamnist,shared,0.43686867753664654,0.08544500769765602,0.4222682457831171,1.89705495039622,9
1,0,organamnist,single,0.4257575571537018,0.08570320868407842,0.4076804629705771,1.9875066412819757,9
1,0,organamnist,source_breastmnist,0.4196969535615709,0.08461140964832266,0.40771808712319896,1.9740167988671198,9
1,0,organamnist,source_octmnist,0.440404024389055,0.08649643781449082,0.4214159238218057,2.036705599890815,9
1,0,organamnist,source_pathmnist,0.4419191777706146,0.08536436413244836,0.42455120298146,1.859860897064209,9
1,0,organamnist,source_pneumoniamnist,0.4489898847209083,0.09010376092819807,0.42847300403647953,1.893133454852634,9
1,0,organamnist,source_tissuemnist,0.43939392434226143,0.08369069183194984,0.4208643769073968,1.8930274777942233,9
1,0,organcmnist,shared,0.41565655171871185,0.09079854368189252,0.40066333957994826,1.940842005941603,9
1,0,organcmnist,single,0.39393938415580326,0.07882792569984262,0.3746426078029955,2.027917014227973,9
1,0,organcmnist,source_breastmnist,0.38333331876330906,0.08412161382526961,0.3695946418200478,2.085004621081882,9
1,0,organcmnist,source_octmnist,0.4176767518122991,0.09143157869442918,0.3977656815991257,2.0998333825005426,9
1,0,organcmnist,source_pathmnist,0.38585857384734684,0.08499040415541957,0.3672393178473217,1.9395685990651448,9
1,0,organcmnist,source_pneumoniamnist,0.4186868568261464,0.07916938519285165,0.39890473422528516,1.932740569114685,9
1,0,organcmnist,source_tissuemnist,0.3969696842961841,0.07520632914083691,0.3831480774990838,1.9866543875800238,9
1,0,organsmnist,shared,0.34747473398844403,0.08531392234241278,0.3370447844417408,2.025380942556593,9
1,0,organsmnist,single,0.3272727181514104,0.08153359526956964,0.3187499386117314,2.0877501832114325,9
1,0,organsmnist,source_breastmnist,0.3161616060468886,0.09019924755222593,0.30610749411462534,2.0802846484714084,9
1,0,organsmnist,source_octmnist,0.3328282717201445,0.0950689619370887,0.31557491113140124,2.1416278150346546,9
1,0,organsmnist,source_pathmnist,0.3313131216499541,0.09443296587127419,0.3209077255668664,2.012413329548306,9
1,0,organsmnist,source_pneumoniamnist,0.34494948552714455,0.08176906207612421,0.33584260105183633,2.002508931689792,9
1,0,organsmnist,source_tissuemnist,0.3272727181514104,0.09851688886078037,0.31606004571523333,2.0251420736312866,9
1,1,dermamnist,shared,0.3089191284444597,0.0721638834058069,0.3002159907704308,1.8207761579089694,9
1,1,dermamnist,single,0.3263920396566391,0.06644052680397376,0.3134142224869085,1.798827913072374,9
1,1,dermamnist,source_breastmnist,0.3034391552209854,0.0479317672957179,0.2933888037408155,1.838912049929301,9
1,1,dermamnist,source_octmnist,0.3092970550060272,0.07005240729942624,0.29486997869043124,1.8167998260921903,9
1,1,dermamnist,source_pathmnist,0.31002771523263717,0.07222653778256058,0.2939910473568099,1.8129309548272028,9
1,1,dermamnist,source_pneumoniamnist,0.3097505701912774,0.0622515810220574,0.2948228744642129,1.8212342262268066,9
1,1,dermamnist,source_tissuemnist,0.3239858928653929,0.0691591401645084,0.30588581874257037,1.8109871678882175,9
1,1,organamnist,shared,0.42878786391682094,0.08402946090586552,0.413125870580023,1.8793766233656142,9
1,1,organamnist,single,0.4398989743656582,0.09098796130982306,0.42482278409479846,1.892460240258111,9
1,1,organamnist,source_breastmnist,0.41767675512366825,0.10303865575875716,0.4056256673101223,1.9478300942314997,9
1,1,organamnist,source_octmnist,0.43535352415508694,0.09978742281749402,0.41911062379979125,2.0049433840645685,9
1,1,organamnist,source_pathmnist,0.4358585675557454,0.09319413225422742,0.419725401044795,1.8269674645529852,9
1,1,organamnist,source_pneumoniamnist,0.44191917445924545,0.08897886977574163,0.42698607469598454,1.867707371711731,9
1,1,organamnist,source_tissuemnist,0.4358585708671146,0.08610740612461154,0.4197337159679996,1.895344336827596,9
1,1,organcmnist,shared,0.3742424150307973,0.10242413046647639,0.3643411872061816,2.012655191951328,9
1,1,organcmnist,single,0.3691919081740909,0.09892964547239926,0.35197301532584,2.0025487343470254,9
1,1,organcmnist,source_breastmnist,0.371212104956309,0.1089013466627971,0.35965451045018254,2.0752189026938543,9
1,1,organcmnist,source_octmnist,0.378282818529341,0.10727123063026431,0.36407386820123655,2.1190132167604236,9
1,1,organcmnist,source_pathmnist,0.36666665143436855,0.09099427256330746,0.3492066817301692,2.0316097338994346,9
1,1,organcmnist,source_pneumoniamnist,0.39393938415580326,0.08473341284463247,0.3813599141483957,1.9797704617182414,9
1,1,organcmnist,source_tissuemnist,0.3757575634453032,0.10166485466830227,0.3569704026284844,2.0283364719814725,9
1,1,organsmnist,shared,0.2979797836807039,0.06634304867683181,0.2904831003585849,2.0789797041151257,9
1,1,organsmnist,single,0.29343433678150177,0.06013548032487712,0.2854330239798685,2.0724859370125666,9
1,1,organsmnist,source_breastmnist,0.30202019545767045,0.07541589567822878,0.29283006530669,2.1258652607599893,9
1,1,organsmnist,source_octmnist,0.3101010024547577,0.06798371829411545,0.2998277370752108,2.1233165529039173,9
1,1,organsmnist,source_pathmnist,0.301515143778589,0.05608619601027159,0.2965483075440532,2.1034015549553766,9
1,1,organsmnist,source_pneumoniamnist,0.3146464592880673,0.06813550485460908,0.30531995705883913,2.0651121139526367,9
1,1,organsmnist,source_tissuemnist,0.29848484032683903,0.05821021990307287,0.2890654828286532,2.1015649371676974,9
