split_seed,train_seed,task,method,accuracy_mean,accuracy_std,macro_f1_mean,query_nll_mean,episode_count
36,3,bloodmnist,source_tissuemnist,0.4850000083446503,0.10462886109182142,0.47214265627165636,1.7277639428774516,30
36,3,pathmnist,shared,0.6357407559951146,0.11013637156963829,0.6306411907214808,1.2836955030759176,30
36,3,pathmnist,single,0.648703721165657,0.10836338067122783,0.6458887287863978,1.272083536783854,30
36,3,pathmnist,source_breastmnist,0.6087037205696106,0.10657087104646619,0.6035404018229908,1.4040887832641602,30
36,3,pathmnist,source_dermamnist,0.6072222381830216,0.09178878788955733,0.6024132789561042,1.256851859887441,30
36,3,pathmnist,source_octmnist,0.6448148330052693,0.1089730495998359,0.6400049444150042,1.3570698102315266,30
36,3,pathmnist,source_organmnist,0.6388889064391454,0.10438451068502734,0.6336506799967201,1.2505390485127768,30
36,3,pathmnist,source_tissuemnist,0.6138889054457347,0.1036041675215303,0.6110668444799052,1.359097715218862,30
36,4,bloodmnist,shared,0.48708334465821584,0.10291983916351166,0.47031525544201336,1.6408379276593525,30
36,4,bloodmnist,single,0.4981250117222468,0.10883827983189327,0.4871768975630403,1.6416965126991272,30
36,4,bloodmnist,source_breastmnist,0.4925000071525574,0.11386149323999156,0.48352275712726017,1.7008165876070658,30
36,4,bloodmnist,source_dermamnist,0.4956250051657359,0.10222669123545974,0.4786686701544871,1.6614634116490683,30
36,4,bloodmnist,source_octmnist,0.48895834585030873,0.12039674154802263,0.48250471660867333,1.7290125926335653,30
36,4,bloodmnist,source_organmnist,0.49562500715255736,0.11303930036677715,0.4859248450025916,1.669661855697632,30
36,4,bloodmnist,source_tissuemnist,0.47854167222976685,0.10590949156758779,0.4701600567592929,1.714431921641032,30
36,4,pathmnist,shared,0.6294444620609283,0.102544783647684,0.6255637711672871,1.2048328220844269,30
36,4,pathmnist,single,0.6250000149011612,0.11176769864495871,0.6221877308769359,1.286587897936503,30
36,4,pathmnist,source_breastmnist,0.6027777900298437,0.1182185612168137,0.6010744910411261,1.3777633349100749,30
36,4,pathmnist,source_dermamnist,0.585185194015503,0.10711525138500215,0.5841426163773846,1.3435889760653177,30
36,4,pathmnist,source_octmnist,0.6138889004786809,0.10663144346860104,0.6101594017887557,1.376096773147583,30
36,4,pathmnist,source_organmnist,0.6175926029682159,0.11007257446969547,0.6158461761695367,1.276080024242401,30
36,4,pathmnist,source_tissuemnist,0.5996296505133311,0.10805109566268868,0.5958169293072488,1.3446041385332743,30
