scope,split_seed,task,masked_expert,mean_accuracy_drop,accuracy_drop_ci_low,accuracy_drop_ci_high,mean_nll_increase,episode_count,analysis_only_query_label_derived
router_candidate,36,pathmnist,shared,0.004876543415917291,0.001913579305013021,0.008456791109508937,0.0362194107638465,90,True
router_candidate,36,pathmnist,source_breastmnist,0.00012345578935411242,0.0,0.0004320952627393934,-0.003393774562411838,90,True
router_candidate,36,pathmnist,source_dermamnist,0.0012962953911887275,0.0,0.004691355095969306,0.0021183755662706164,90,True
router_candidate,36,pathmnist,source_octmnist,0.004938271641731262,0.002530862887700399,0.007716049758924378,-0.020445444848802355,90,True
router_candidate,36,pathmnist,source_organmnist,0.0027160482274161445,0.0009876535998450385,0.004876538457141983,0.013892695638868543,90,True
router_candidate,36,pathmnist,source_tissuemnist,0.0006790128019120959,0.0,0.0018518530660205418,-0.0022340999709235298,90,True
specialist_only,6,breastmnist,source_bloodmnist,0.004999998211860657,0.0011111107137468125,0.010833330286873713,-0.001344483428531223,90,True
specialist_only,6,breastmnist,source_organmnist,0.003888889816072252,0.0011111120382944742,0.007222222619586521,0.0007991651693979899,90,True
specialist_only,6,breastmnist,source_pathmnist,0.0036111106475194294,0.0011111107137468125,0.006944445446133613,-0.0006501522329118517,90,True
specialist_only,6,breastmnist,source_pneumoniamnist,0.0025000002649095323,0.0002777775128682454,0.006111111905839709,0.002874497241444058,90,True
specialist_only,6,breastmnist,source_tissuemnist,0.007222223281860352,0.003888887166976929,0.011111115084754097,0.009631610910097758,90,True
specialist_only,6,octmnist,source_bloodmnist,0.004861113097932603,0.0023611128330230714,0.007638892539673383,0.004311521848042806,90,True
specialist_only,6,octmnist,source_organmnist,0.003194444047080146,0.0008333332008785672,0.006527778175142076,-0.010214444001515706,90,True
specialist_only,6,octmnist,source_pathmnist,0.001805555820465088,0.0,0.004027775269415643,3.1575891706678604e-05,90,True
specialist_only,6,octmnist,source_pneumoniamnist,0.0005555556880103217,0.0,0.0013888908757103812,0.0011176519923739962,90,True
specialist_only,6,octmnist,source_tissuemnist,0.01000000105963813,0.005972224134537908,0.01486111150847541,0.021704885694715712,90,True
specialist_only,36,bloodmnist,source_breastmnist,0.0006249994039535522,0.0001388887564341227,0.0013194441795349122,0.0019343760278489855,90,True
specialist_only,36,bloodmnist,source_dermamnist,0.006111110912428962,0.0021527750541766484,0.010694448492593236,0.013646905952029758,90,True
specialist_only,36,bloodmnist,source_octmnist,0.0011805564165115357,0.0,0.0031944480290015537,-0.0016001118554009332,90,True
specialist_only,36,bloodmnist,source_organmnist,0.0044444450073772,0.001805555820465088,0.00750000146528085,0.008268321885002984,90,True
specialist_only,36,bloodmnist,source_tissuemnist,0.0014583335982428656,0.00034722288449605306,0.003125000662273831,0.0024877481990390354,90,True
specialist_only,36,pathmnist,source_breastmnist,0.00018518368403116863,0.0,0.0004938231574164497,-0.002627274725172255,90,True
specialist_only,36,pathmnist,source_dermamnist,0.001604937513669332,0.0,0.004753085987435447,0.0011536187595791287,90,True
specialist_only,36,pathmnist,source_octmnist,0.007469136516253153,0.004691359731886122,0.010679011543591818,-0.02648899025387234,90,True
specialist_only,36,pathmnist,source_organmnist,0.005370369222429064,0.0033333308001359304,0.007777776320775351,0.0372856338818868,90,True
specialist_only,36,pathmnist,source_tissuemnist,0.0012962967157363892,0.00030864278475443524,0.002592591775788201,-0.0041612373458014594,90,True
