split_seed,train_seed,task,shots,support_resample,episode_hash,primary_oracle,top1_expert,top2_expert,top1_top2_accuracy_margin,exact_accuracy_tie,epsilon_accuracy,epsilon_optimal_size,epsilon_optimal_experts
6,3,octmnist,16,0,d47067531ff5708e68ba5a4922dea3721560b246dbf10732b4e2db1deb33e228,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.07500004768371582,False,0.01,1,source_tissuemnist
6,3,octmnist,16,1,43e6cd491c0d72e2ab04c5556214039422c33ff96b27c9385debe3ec3190156e,source_bloodmnist,source_bloodmnist,source_pathmnist,0.0,True,0.01,2,source_bloodmnist|source_pathmnist
6,3,octmnist,16,2,8699965147f05441d07d0e09f1706cd651c29fa01ac206e025519bd3dd226c3e,source_bloodmnist,source_bloodmnist,shared,0.0,True,0.01,3,shared|source_bloodmnist|source_tissuemnist
6,3,octmnist,16,3,039d6dc2864562b4eececf0c98dbf156882cfae291d6f4c7ba422b514882d8e0,source_bloodmnist,source_bloodmnist,shared,0.050000011920928955,False,0.01,1,source_bloodmnist
6,3,octmnist,16,4,d4e921268a8404c8139240151a84379649ef8e0d4e5c1cfd6f57126f8abaa1e5,source_bloodmnist,source_bloodmnist,source_tissuemnist,0.0,True,0.01,3,source_bloodmnist|source_pneumoniamnist|source_tissuemnist
6,3,octmnist,16,5,5f6a41e7d264e8588a400c8196971047cbe2fb0dad79495f819a8720443f7391,shared,shared,source_tissuemnist,0.012499988079071045,False,0.01,1,shared
6,3,octmnist,16,6,c32d98e1d35a9632df40495d29c264afbc43d8e631daabb1a736b77afce8ec60,source_tissuemnist,source_tissuemnist,source_organmnist,0.037499964237213135,False,0.01,1,source_tissuemnist
6,3,octmnist,16,7,be0fc63fb44ff2f1079987b45c13b85e35cc747eb26cbc16892e257d071749b1,source_bloodmnist,source_bloodmnist,source_pneumoniamnist,0.01250004768371582,False,0.01,1,source_bloodmnist
6,3,octmnist,16,8,de281c2a81b1fdbb289e2ebe4b466cfa64af954e099804b7220efc4bea71b507,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.03750002384185791,False,0.01,1,source_tissuemnist
6,3,octmnist,16,9,39465f6fae08070635d47e6fffd7b867fc98f67af88e8376caf182f8c4e4b9a0,source_bloodmnist,source_bloodmnist,source_organmnist,0.0,True,0.01,2,source_bloodmnist|source_organmnist
6,4,breastmnist,1,0,e5c3ad119bf21c10fb9ceec972096b96f6801a9eab947ddf3401082fae93adf6,source_tissuemnist,source_tissuemnist,source_organmnist,0.025000035762786865,False,0.01,1,source_tissuemnist
6,4,breastmnist,1,1,41a5b3c60827ba187026d6109c1f0295df2db6bcc541a5bccb62695f1dc4d1bb,shared,shared,source_organmnist,0.050000011920928955,False,0.01,1,shared
6,4,breastmnist,1,2,f9030a2920394634fcfa3744cb9e540f766d2edce0de0fe553dc0ce2bb707d0c,source_pneumoniamnist,source_pneumoniamnist,source_bloodmnist,0.0,True,0.01,2,source_bloodmnist|source_pneumoniamnist
6,4,breastmnist,1,3,fd9bef33405cf5948c613bab7c4112dd6992f58f7a6064f084b82e6e9592ecce,source_tissuemnist,source_tissuemnist,source_pneumoniamnist,0.0,True,0.01,3,source_organmnist|source_pneumoniamnist|source_tissuemnist
6,4,breastmnist,1,4,cb57d4f618544f8d32770cb059b9c5ccf4a4f894259830adc31dd9b301960537,source_organmnist,source_organmnist,shared,0.025000035762786865,False,0.01,1,source_organmnist
6,4,breastmnist,1,5,4147cb92b4770bc46b4b9c688a771f10309b5d0ef75e4f7b77ae6c807925da6f,source_organmnist,source_organmnist,source_tissuemnist,0.050000011920928955,False,0.01,1,source_organmnist
6,4,breastmnist,1,6,19aeb4fa84bd49079813bb076d38e800aa72b9cb188ae54c36aac72b31c97405,source_bloodmnist,source_bloodmnist,source_pathmnist,0.02499997615814209,False,0.01,1,source_bloodmnist
6,4,breastmnist,1,7,6aa18787fab48613dbbbe84a94f6520858c40233730be9678d4f46a634fee15c,source_pathmnist,source_pathmnist,source_pneumoniamnist,0.02499997615814209,False,0.01,1,source_pathmnist
6,4,breastmnist,1,8,e9368b2d0f7d005b6a793e1f1f74adc6f1adf16dc52d596cd4896f0e63e7e1c8,source_bloodmnist,source_bloodmnist,source_tissuemnist,0.025000005960464478,False,0.01,1,source_bloodmnist
6,4,breastmnist,1,9,18b2febe95a27710b86b40bda2ecfb6fe9c33fedec28c5992849580d3d012f5f,source_pathmnist,source_pathmnist,source_bloodmnist,0.0,True,0.01,3,shared|source_bloodmnist|source_pathmnist
6,4,breastmnist,5,0,31ed776caf4f09c4c927ab268ff200ec7998d9d4d2c3f88c8cd3785b0915750f,source_organmnist,source_organmnist,source_bloodmnist,0.0,True,0.01,2,source_bloodmnist|source_organmnist
6,4,breastmnist,5,1,98b28c19552531c716f96374752b4e755b01880472debfb8124d309393dbf3c6,source_tissuemnist,source_tissuemnist,shared,0.0,True,0.01,2,shared|source_tissuemnist
6,4,breastmnist,5,2,be566ef759dfef65b8ff7bccbcd55f8770482f2e42ea19e355b2734718680ac3,source_pathmnist,source_pathmnist,source_bloodmnist,0.0,True,0.01,2,source_bloodmnist|source_pathmnist
6,4,breastmnist,5,3,0c6ee7e22acd60e41d5b51d36ae391da36215bb8af7aaf8a70ee51b0f3f6f0c6,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.10000002384185791,False,0.01,1,source_tissuemnist
